Timestamp,RTU_1 DuctStatPress(in/wc)
03-Jan-20 08:35:00 am,1.79
03-Jan-20 09:10:00 am,1.77
03-Jan-20 09:45:00 am,1.81
03-Jan-20 10:20:00 am,1.78
03-Jan-20 10:55:00 am,1.78
03-Jan-20 11:30:00 am,1.82
03-Jan-20 12:05:00 pm,1.78
03-Jan-20 12:40:00 pm,1.82
03-Jan-20 01:15:00 pm,1.79
03-Jan-20 01:50:00 pm,1.80
03-Jan-20 02:25:00 pm,1.78
03-Jan-20 03:00:00 pm,1.80
03-Jan-20 03:35:00 pm,1.81
03-Jan-20 04:10:00 pm,1.81
03-Jan-20 04:45:00 pm,1.80
03-Jan-20 05:20:00 pm,1.79
03-Jan-20 05:55:00 pm,0.97
03-Jan-20 06:30:00 pm,0.13
03-Jan-20 07:05:00 pm,0.12
03-Jan-20 07:40:00 pm,0.12
03-Jan-20 08:15:00 pm,0.10
03-Jan-20 08:50:00 pm,0.11
03-Jan-20 09:25:00 pm,0.11
03-Jan-20 10:00:00 pm,0.11
03-Jan-20 10:35:00 pm,0.11
03-Jan-20 11:10:00 pm,0.10
03-Jan-20 11:45:00 pm,0.11
04-Jan-20 12:20:00 am,0.12
04-Jan-20 12:55:00 am,0.10
04-Jan-20 01:30:00 am,0.10
04-Jan-20 02:05:00 am,0.11
04-Jan-20 02:40:00 am,0.13
04-Jan-20 03:15:00 am,0.10
04-Jan-20 03:50:00 am,0.10
04-Jan-20 04:25:00 am,0.10
04-Jan-20 05:00:00 am,0.10
04-Jan-20 05:35:00 am,0.10
04-Jan-20 06:10:00 am,0.10
04-Jan-20 06:45:00 am,0.11
04-Jan-20 07:20:00 am,0.11
04-Jan-20 07:55:00 am,0.11
04-Jan-20 08:30:00 am,0.12
04-Jan-20 09:05:00 am,0.11
04-Jan-20 09:40:00 am,0.12
04-Jan-20 10:15:00 am,0.12
04-Jan-20 10:50:00 am,0.12
04-Jan-20 11:25:00 am,0.12
04-Jan-20 12:00:00 pm,0.11
04-Jan-20 12:35:00 pm,0.10
04-Jan-20 01:10:00 pm,0.11
04-Jan-20 01:45:00 pm,0.10
04-Jan-20 02:20:00 pm,0.10
04-Jan-20 02:55:00 pm,0.09
04-Jan-20 03:30:00 pm,0.10
04-Jan-20 04:05:00 pm,1.19
04-Jan-20 04:40:00 pm,0.13
04-Jan-20 05:15:00 pm,0.12
04-Jan-20 05:50:00 pm,0.12
04-Jan-20 06:25:00 pm,0.11
04-Jan-20 07:00:00 pm,0.12
04-Jan-20 07:35:00 pm,0.11
04-Jan-20 08:10:00 pm,0.11
04-Jan-20 08:45:00 pm,0.11
04-Jan-20 09:20:00 pm,0.11
04-Jan-20 09:55:00 pm,0.11
04-Jan-20 10:30:00 pm,0.11
04-Jan-20 11:05:00 pm,0.10
04-Jan-20 11:40:00 pm,0.11
05-Jan-20 12:15:00 am,0.11
05-Jan-20 12:50:00 am,0.11
05-Jan-20 01:25:00 am,0.11
05-Jan-20 02:00:00 am,0.11
05-Jan-20 02:35:00 am,0.11
05-Jan-20 03:10:00 am,0.10
