Timestamp,RTU_1 ControlTemp(°F)
08-Jan-20 03:10:00 pm,69.7
08-Jan-20 03:45:00 pm,69.6
08-Jan-20 04:20:00 pm,69.5
08-Jan-20 04:55:00 pm,69.6
08-Jan-20 05:30:00 pm,69.5
08-Jan-20 06:05:00 pm,65.9
08-Jan-20 06:40:00 pm,65.0
08-Jan-20 07:15:00 pm,64.5
08-Jan-20 07:50:00 pm,63.8
08-Jan-20 08:25:00 pm,63.1
08-Jan-20 09:00:00 pm,61.4
08-Jan-20 09:35:00 pm,60.9
08-Jan-20 10:10:00 pm,60.8
08-Jan-20 10:45:00 pm,60.9
08-Jan-20 11:20:00 pm,60.6
08-Jan-20 11:55:00 pm,60.6
09-Jan-20 12:30:00 am,60.3
09-Jan-20 01:05:00 am,60.0
09-Jan-20 01:40:00 am,60.0
09-Jan-20 02:15:00 am,59.9
09-Jan-20 02:50:00 am,60.0
09-Jan-20 03:25:00 am,59.5
09-Jan-20 04:00:00 am,61.7
09-Jan-20 04:35:00 am,64.0
09-Jan-20 05:10:00 am,64.3
09-Jan-20 05:45:00 am,65.6
09-Jan-20 06:20:00 am,67.7
09-Jan-20 06:55:00 am,67.8
09-Jan-20 07:30:00 am,67.9
09-Jan-20 08:05:00 am,68.0
09-Jan-20 08:40:00 am,68.2
09-Jan-20 09:15:00 am,68.5
09-Jan-20 09:50:00 am,68.7
09-Jan-20 10:25:00 am,68.9
09-Jan-20 11:00:00 am,69.0
09-Jan-20 11:35:00 am,69.4
09-Jan-20 12:10:00 pm,69.5
09-Jan-20 12:45:00 pm,69.4
09-Jan-20 01:20:00 pm,69.4
09-Jan-20 01:55:00 pm,69.4
09-Jan-20 02:30:00 pm,69.4
09-Jan-20 03:05:00 pm,68.6
09-Jan-20 03:40:00 pm,68.3
09-Jan-20 04:15:00 pm,68.9
09-Jan-20 04:50:00 pm,69.2
09-Jan-20 05:25:00 pm,68.4
09-Jan-20 06:00:00 pm,65.3
09-Jan-20 06:35:00 pm,63.6
09-Jan-20 07:10:00 pm,63.6
09-Jan-20 07:45:00 pm,61.7
09-Jan-20 08:20:00 pm,60.6
09-Jan-20 08:55:00 pm,60.4
09-Jan-20 09:30:00 pm,59.9
09-Jan-20 10:05:00 pm,59.8
09-Jan-20 10:40:00 pm,60.0
09-Jan-20 11:15:00 pm,60.8
09-Jan-20 11:50:00 pm,61.0
10-Jan-20 12:25:00 am,60.4
10-Jan-20 01:00:00 am,59.9
10-Jan-20 01:35:00 am,60.2
10-Jan-20 02:10:00 am,59.9
10-Jan-20 02:45:00 am,59.9
10-Jan-20 03:20:00 am,59.9
10-Jan-20 03:55:00 am,60.8
10-Jan-20 04:30:00 am,63.2
10-Jan-20 05:05:00 am,63.9
10-Jan-20 05:40:00 am,64.2
10-Jan-20 06:15:00 am,67.5
10-Jan-20 06:50:00 am,67.6
10-Jan-20 07:25:00 am,67.7
10-Jan-20 08:00:00 am,68.0
10-Jan-20 08:35:00 am,68.1
10-Jan-20 09:10:00 am,68.4
10-Jan-20 09:45:00 am,68.5
10-Jan-20 10:20:00 am,68.5
10-Jan-20 10:55:00 am,68.9
10-Jan-20 11:30:00 am,69.1
10-Jan-20 12:05:00 pm,69.2
10-Jan-20 12:40:00 pm,69.2
10-Jan-20 01:15:00 pm,69.2
10-Jan-20 01:50:00 pm,69.4
10-Jan-20 02:25:00 pm,69.5
10-Jan-20 03:00:00 pm,69.6
10-Jan-20 03:35:00 pm,69.7
10-Jan-20 04:10:00 pm,69.4
10-Jan-20 04:45:00 pm,68.4
10-Jan-20 05:20:00 pm,68.3
10-Jan-20 05:55:00 pm,66.8
10-Jan-20 06:30:00 pm,63.6
10-Jan-20 07:05:00 pm,62.9
10-Jan-20 07:40:00 pm,62.6
10-Jan-20 08:15:00 pm,62.2
10-Jan-20 08:50:00 pm,61.9
10-Jan-20 09:25:00 pm,61.7
10-Jan-20 10:00:00 pm,61.0
10-Jan-20 10:35:00 pm,60.8
10-Jan-20 11:10:00 pm,60.8
10-Jan-20 11:45:00 pm,60.8
11-Jan-20 12:20:00 am,60.8
11-Jan-20 12:55:00 am,60.6
11-Jan-20 01:30:00 am,60.3
11-Jan-20 02:05:00 am,60.2
11-Jan-20 02:40:00 am,60.0
11-Jan-20 03:15:00 am,59.9
11-Jan-20 03:50:00 am,59.7
11-Jan-20 04:25:00 am,59.3
11-Jan-20 05:00:00 am,59.4
11-Jan-20 05:35:00 am,59.5
11-Jan-20 06:10:00 am,59.3
11-Jan-20 06:45:00 am,59.2
11-Jan-20 07:20:00 am,58.9
11-Jan-20 07:55:00 am,59.1
11-Jan-20 08:30:00 am,59.5
11-Jan-20 09:05:00 am,59.8
11-Jan-20 09:40:00 am,59.4
11-Jan-20 10:15:00 am,59.8
11-Jan-20 10:50:00 am,59.6
11-Jan-20 11:25:00 am,59.6
11-Jan-20 12:00:00 pm,59.8
11-Jan-20 12:35:00 pm,59.9
11-Jan-20 01:10:00 pm,59.8
11-Jan-20 01:45:00 pm,60.0
11-Jan-20 02:20:00 pm,62.1
11-Jan-20 02:55:00 pm,63.7
11-Jan-20 03:30:00 pm,62.0
11-Jan-20 04:05:00 pm,61.2
11-Jan-20 04:40:00 pm,61.1
11-Jan-20 05:15:00 pm,60.2
11-Jan-20 05:50:00 pm,60.0
11-Jan-20 06:25:00 pm,60.4
11-Jan-20 07:00:00 pm,60.6
11-Jan-20 07:35:00 pm,61.9
11-Jan-20 08:10:00 pm,60.8
11-Jan-20 08:45:00 pm,59.8
11-Jan-20 09:20:00 pm,60.8
11-Jan-20 09:55:00 pm,59.6
11-Jan-20 10:30:00 pm,61.3
11-Jan-20 11:05:00 pm,59.9
11-Jan-20 11:40:00 pm,60.6
12-Jan-20 12:15:00 am,60.2
12-Jan-20 12:50:00 am,59.4
12-Jan-20 01:25:00 am,60.7
12-Jan-20 02:00:00 am,59.3
12-Jan-20 02:35:00 am,59.7
12-Jan-20 03:10:00 am,59.5
12-Jan-20 03:45:00 am,59.9
12-Jan-20 04:20:00 am,60.2
12-Jan-20 04:55:00 am,59.2
12-Jan-20 05:30:00 am,60.7
12-Jan-20 06:05:00 am,59.3
12-Jan-20 06:40:00 am,60.4
12-Jan-20 07:15:00 am,59.4
12-Jan-20 07:50:00 am,60.0
12-Jan-20 08:25:00 am,59.8
12-Jan-20 09:00:00 am,63.2
12-Jan-20 09:35:00 am,62.6
12-Jan-20 10:10:00 am,61.3
12-Jan-20 10:45:00 am,61.0
12-Jan-20 11:20:00 am,60.8
12-Jan-20 11:55:00 am,62.2
12-Jan-20 12:30:00 pm,61.0
12-Jan-20 01:05:00 pm,61.2
12-Jan-20 01:40:00 pm,61.4
12-Jan-20 02:15:00 pm,60.0
12-Jan-20 02:50:00 pm,59.5
12-Jan-20 03:25:00 pm,59.2
12-Jan-20 04:00:00 pm,59.3
12-Jan-20 04:35:00 pm,58.9
12-Jan-20 05:10:00 pm,60.7
12-Jan-20 05:45:00 pm,60.1
12-Jan-20 06:20:00 pm,60.4
12-Jan-20 06:55:00 pm,60.5
12-Jan-20 07:30:00 pm,60.6
12-Jan-20 08:05:00 pm,61.4
12-Jan-20 08:40:00 pm,60.4
12-Jan-20 09:15:00 pm,60.8
12-Jan-20 09:50:00 pm,60.8
12-Jan-20 10:25:00 pm,61.1
12-Jan-20 11:00:00 pm,60.9
12-Jan-20 11:35:00 pm,60.6
13-Jan-20 12:10:00 am,61.2
13-Jan-20 12:45:00 am,60.6
13-Jan-20 01:20:00 am,61.5
13-Jan-20 01:55:00 am,60.6
13-Jan-20 02:30:00 am,60.9
13-Jan-20 03:05:00 am,60.6
13-Jan-20 03:40:00 am,61.0
13-Jan-20 04:15:00 am,62.5
13-Jan-20 04:50:00 am,63.3
13-Jan-20 05:25:00 am,63.7
13-Jan-20 06:00:00 am,65.7
13-Jan-20 06:35:00 am,67.0
13-Jan-20 07:10:00 am,67.2
13-Jan-20 07:45:00 am,67.4
13-Jan-20 08:20:00 am,67.7
13-Jan-20 08:55:00 am,67.8
13-Jan-20 09:30:00 am,67.9
13-Jan-20 10:05:00 am,68.2
13-Jan-20 10:40:00 am,68.3
13-Jan-20 11:15:00 am,68.4
13-Jan-20 11:50:00 am,68.2
13-Jan-20 12:25:00 pm,68.2
13-Jan-20 01:00:00 pm,68.2
13-Jan-20 01:35:00 pm,68.2
13-Jan-20 02:10:00 pm,68.3
13-Jan-20 02:45:00 pm,68.3
13-Jan-20 03:20:00 pm,68.3
13-Jan-20 03:55:00 pm,68.3
13-Jan-20 04:30:00 pm,68.0
13-Jan-20 05:05:00 pm,68.0
13-Jan-20 05:40:00 pm,68.0
13-Jan-20 06:15:00 pm,63.9
13-Jan-20 06:50:00 pm,62.7
13-Jan-20 07:25:00 pm,60.5
13-Jan-20 08:00:00 pm,60.1
13-Jan-20 08:35:00 pm,59.9
13-Jan-20 09:10:00 pm,59.3
13-Jan-20 09:45:00 pm,58.5
13-Jan-20 10:20:00 pm,60.1
13-Jan-20 10:55:00 pm,60.0
13-Jan-20 11:30:00 pm,59.3
14-Jan-20 12:05:00 am,58.5
14-Jan-20 12:40:00 am,59.1
14-Jan-20 01:15:00 am,59.5
14-Jan-20 01:50:00 am,59.7
14-Jan-20 02:25:00 am,60.8
14-Jan-20 03:00:00 am,59.6
14-Jan-20 03:35:00 am,59.7
14-Jan-20 04:10:00 am,61.9
14-Jan-20 04:45:00 am,62.7
14-Jan-20 05:20:00 am,63.0
14-Jan-20 05:55:00 am,65.0
14-Jan-20 06:30:00 am,66.8
14-Jan-20 07:05:00 am,66.9
14-Jan-20 07:40:00 am,67.1
14-Jan-20 08:15:00 am,67.2
14-Jan-20 08:50:00 am,67.4
14-Jan-20 09:25:00 am,67.6
14-Jan-20 10:00:00 am,67.9
14-Jan-20 10:35:00 am,68.0
14-Jan-20 11:10:00 am,68.0
14-Jan-20 11:45:00 am,68.3
14-Jan-20 12:20:00 pm,68.3
14-Jan-20 12:55:00 pm,68.3
14-Jan-20 01:30:00 pm,68.4
14-Jan-20 02:05:00 pm,68.4
14-Jan-20 02:40:00 pm,68.5
14-Jan-20 03:15:00 pm,68.4
14-Jan-20 03:50:00 pm,68.5
14-Jan-20 04:25:00 pm,68.3
14-Jan-20 05:00:00 pm,68.2
14-Jan-20 05:35:00 pm,68.2
14-Jan-20 06:10:00 pm,64.1
14-Jan-20 06:45:00 pm,62.2
14-Jan-20 07:20:00 pm,60.0
14-Jan-20 07:55:00 pm,58.8
14-Jan-20 08:30:00 pm,58.3
14-Jan-20 09:05:00 pm,57.7
14-Jan-20 09:40:00 pm,58.1
14-Jan-20 10:15:00 pm,58.7
14-Jan-20 10:50:00 pm,59.4
14-Jan-20 11:25:00 pm,59.5
15-Jan-20 12:00:00 am,58.8
15-Jan-20 12:35:00 am,58.2
15-Jan-20 01:10:00 am,58.6
15-Jan-20 01:45:00 am,57.9
15-Jan-20 02:20:00 am,57.5
15-Jan-20 02:55:00 am,57.7
15-Jan-20 03:30:00 am,57.7
15-Jan-20 04:05:00 am,61.1
15-Jan-20 04:40:00 am,62.0
15-Jan-20 05:15:00 am,62.4
15-Jan-20 05:50:00 am,64.5
15-Jan-20 06:25:00 am,66.9
15-Jan-20 07:00:00 am,67.1
15-Jan-20 07:35:00 am,67.1
15-Jan-20 08:10:00 am,67.3
15-Jan-20 08:45:00 am,67.4
15-Jan-20 09:20:00 am,67.6
15-Jan-20 09:55:00 am,67.6
15-Jan-20 10:30:00 am,67.9
15-Jan-20 11:05:00 am,68.0
15-Jan-20 11:40:00 am,68.1
15-Jan-20 12:15:00 pm,68.2
15-Jan-20 12:50:00 pm,68.3
15-Jan-20 01:25:00 pm,68.3
15-Jan-20 02:00:00 pm,68.2
15-Jan-20 02:35:00 pm,68.2
