Timestamp,RTU_1 OutdoorTemp(°F)
04-Jan-20 06:25:00 pm,45.0
04-Jan-20 07:00:00 pm,44.9
04-Jan-20 07:35:00 pm,45.3
04-Jan-20 08:10:00 pm,45.4
04-Jan-20 08:45:00 pm,44.8
04-Jan-20 09:20:00 pm,44.6
04-Jan-20 09:55:00 pm,44.9
04-Jan-20 10:30:00 pm,45.4
04-Jan-20 11:05:00 pm,45.6
04-Jan-20 11:40:00 pm,45.6
05-Jan-20 12:15:00 am,45.2
05-Jan-20 12:50:00 am,45.3
05-Jan-20 01:25:00 am,45.3
05-Jan-20 02:00:00 am,45.5
05-Jan-20 02:35:00 am,46.1
05-Jan-20 03:10:00 am,45.5
05-Jan-20 03:45:00 am,44.4
05-Jan-20 04:20:00 am,44.0
05-Jan-20 04:55:00 am,44.1
05-Jan-20 05:30:00 am,44.0
05-Jan-20 06:05:00 am,44.0
05-Jan-20 06:40:00 am,44.2
05-Jan-20 07:15:00 am,45.0
05-Jan-20 07:50:00 am,45.1
05-Jan-20 08:25:00 am,45.6
05-Jan-20 09:00:00 am,46.2
05-Jan-20 09:35:00 am,45.2
05-Jan-20 10:10:00 am,44.6
05-Jan-20 10:45:00 am,44.9
05-Jan-20 11:20:00 am,45.6
05-Jan-20 11:55:00 am,46.6
05-Jan-20 12:30:00 pm,47.6
05-Jan-20 01:05:00 pm,49.1
05-Jan-20 01:40:00 pm,49.3
05-Jan-20 02:15:00 pm,50.9
05-Jan-20 02:50:00 pm,50.9
05-Jan-20 03:25:00 pm,49.0
05-Jan-20 04:00:00 pm,48.3
05-Jan-20 04:35:00 pm,47.2
05-Jan-20 05:10:00 pm,47.2
05-Jan-20 05:45:00 pm,46.9
05-Jan-20 06:20:00 pm,46.5
05-Jan-20 06:55:00 pm,46.6
05-Jan-20 07:30:00 pm,46.0
05-Jan-20 08:05:00 pm,45.3
05-Jan-20 08:40:00 pm,45.0
05-Jan-20 09:15:00 pm,44.9
05-Jan-20 09:50:00 pm,45.0
05-Jan-20 10:25:00 pm,45.2
05-Jan-20 11:00:00 pm,45.2
05-Jan-20 11:35:00 pm,44.9
06-Jan-20 12:10:00 am,44.7
06-Jan-20 12:45:00 am,44.2
06-Jan-20 01:20:00 am,43.7
06-Jan-20 01:55:00 am,43.4
06-Jan-20 02:30:00 am,43.2
06-Jan-20 03:05:00 am,43.2
06-Jan-20 03:40:00 am,43.7
06-Jan-20 04:15:00 am,45.0
06-Jan-20 04:50:00 am,45.6
06-Jan-20 05:25:00 am,45.9
06-Jan-20 06:00:00 am,46.6
06-Jan-20 06:35:00 am,47.9
06-Jan-20 07:10:00 am,47.8
06-Jan-20 07:45:00 am,49.3
06-Jan-20 08:20:00 am,50.0
06-Jan-20 08:55:00 am,50.2
06-Jan-20 09:30:00 am,49.9
06-Jan-20 10:05:00 am,50.1
06-Jan-20 10:40:00 am,50.4
06-Jan-20 11:15:00 am,50.3
06-Jan-20 11:50:00 am,51.0
06-Jan-20 12:25:00 pm,51.4
06-Jan-20 01:00:00 pm,51.3
06-Jan-20 01:35:00 pm,51.3
06-Jan-20 02:10:00 pm,51.8
06-Jan-20 02:45:00 pm,52.2
06-Jan-20 03:20:00 pm,52.3
06-Jan-20 03:55:00 pm,52.5
06-Jan-20 04:30:00 pm,52.3
06-Jan-20 05:05:00 pm,52.3
06-Jan-20 05:40:00 pm,52.6
06-Jan-20 06:15:00 pm,54.4
06-Jan-20 06:50:00 pm,53.7
06-Jan-20 07:25:00 pm,53.7
06-Jan-20 08:00:00 pm,53.5
06-Jan-20 08:35:00 pm,52.9
06-Jan-20 09:10:00 pm,53.3
06-Jan-20 09:45:00 pm,59.8
06-Jan-20 10:20:00 pm,52.9
06-Jan-20 10:55:00 pm,52.6
06-Jan-20 11:30:00 pm,52.1
07-Jan-20 12:05:00 am,51.9
07-Jan-20 12:40:00 am,51.9
07-Jan-20 01:15:00 am,52.0
07-Jan-20 01:50:00 am,51.9
07-Jan-20 02:25:00 am,51.9
07-Jan-20 03:00:00 am,51.7
07-Jan-20 03:35:00 am,51.9
07-Jan-20 04:10:00 am,51.6
07-Jan-20 04:45:00 am,51.9
07-Jan-20 05:20:00 am,51.9
07-Jan-20 05:55:00 am,51.6
07-Jan-20 06:30:00 am,51.0
07-Jan-20 07:05:00 am,50.2
07-Jan-20 07:40:00 am,50.8
07-Jan-20 08:15:00 am,51.3
07-Jan-20 08:50:00 am,52.0
07-Jan-20 09:25:00 am,52.5
07-Jan-20 10:00:00 am,53.2
07-Jan-20 10:35:00 am,54.1
07-Jan-20 11:10:00 am,54.8
07-Jan-20 11:45:00 am,55.0
07-Jan-20 12:20:00 pm,55.9
07-Jan-20 12:55:00 pm,56.9
07-Jan-20 01:30:00 pm,57.7
07-Jan-20 02:05:00 pm,57.3
07-Jan-20 02:40:00 pm,56.2
07-Jan-20 03:15:00 pm,55.1
07-Jan-20 03:50:00 pm,52.9
07-Jan-20 04:25:00 pm,54.2
07-Jan-20 05:00:00 pm,53.9
07-Jan-20 05:35:00 pm,52.4
07-Jan-20 06:10:00 pm,54.2
07-Jan-20 06:45:00 pm,54.1
07-Jan-20 07:20:00 pm,52.9
07-Jan-20 07:55:00 pm,52.2
07-Jan-20 08:30:00 pm,51.4
07-Jan-20 09:05:00 pm,51.6
07-Jan-20 09:40:00 pm,56.0
07-Jan-20 10:15:00 pm,58.6
07-Jan-20 10:50:00 pm,51.8
07-Jan-20 11:25:00 pm,51.6
08-Jan-20 12:00:00 am,50.1
08-Jan-20 12:35:00 am,49.2
08-Jan-20 01:10:00 am,48.4
08-Jan-20 01:45:00 am,48.1
08-Jan-20 02:20:00 am,48.1
08-Jan-20 02:55:00 am,47.2
08-Jan-20 03:30:00 am,46.9
08-Jan-20 04:05:00 am,46.8
08-Jan-20 04:40:00 am,47.0
08-Jan-20 05:15:00 am,47.0
08-Jan-20 05:50:00 am,46.6
08-Jan-20 06:25:00 am,45.4
08-Jan-20 07:00:00 am,45.6
08-Jan-20 07:35:00 am,45.9
08-Jan-20 08:10:00 am,45.3
08-Jan-20 08:45:00 am,45.9
08-Jan-20 09:20:00 am,46.2
08-Jan-20 09:55:00 am,46.8
08-Jan-20 10:30:00 am,46.0
08-Jan-20 11:05:00 am,46.8
08-Jan-20 11:40:00 am,46.8
08-Jan-20 12:15:00 pm,46.5
08-Jan-20 12:50:00 pm,46.7
08-Jan-20 01:25:00 pm,47.2
08-Jan-20 02:00:00 pm,46.4
08-Jan-20 02:35:00 pm,44.9
08-Jan-20 03:10:00 pm,45.3
08-Jan-20 03:45:00 pm,44.7
08-Jan-20 04:20:00 pm,42.4
08-Jan-20 04:55:00 pm,41.4
08-Jan-20 05:30:00 pm,41.1
08-Jan-20 06:05:00 pm,42.5
08-Jan-20 06:40:00 pm,40.9
08-Jan-20 07:15:00 pm,40.7
08-Jan-20 07:50:00 pm,40.1
08-Jan-20 08:25:00 pm,38.9
08-Jan-20 09:00:00 pm,38.1
08-Jan-20 09:35:00 pm,38.5
08-Jan-20 10:10:00 pm,38.1
08-Jan-20 10:45:00 pm,37.6
08-Jan-20 11:20:00 pm,38.2
08-Jan-20 11:55:00 pm,37.3
09-Jan-20 12:30:00 am,36.8
09-Jan-20 01:05:00 am,36.7
09-Jan-20 01:40:00 am,37.0
09-Jan-20 02:15:00 am,37.7
09-Jan-20 02:50:00 am,37.7
09-Jan-20 03:25:00 am,37.5
09-Jan-20 04:00:00 am,37.8
09-Jan-20 04:35:00 am,38.4
09-Jan-20 05:10:00 am,38.8
09-Jan-20 05:45:00 am,38.7
09-Jan-20 06:20:00 am,37.7
09-Jan-20 06:55:00 am,37.5
09-Jan-20 07:30:00 am,37.3
09-Jan-20 08:05:00 am,37.4
09-Jan-20 08:40:00 am,37.7
09-Jan-20 09:15:00 am,38.0
09-Jan-20 09:50:00 am,37.9
09-Jan-20 10:25:00 am,37.8
09-Jan-20 11:00:00 am,38.3
09-Jan-20 11:35:00 am,39.7
09-Jan-20 12:10:00 pm,39.4
09-Jan-20 12:45:00 pm,40.8
09-Jan-20 01:20:00 pm,41.7
09-Jan-20 01:55:00 pm,40.8
09-Jan-20 02:30:00 pm,41.5
09-Jan-20 03:05:00 pm,40.7
09-Jan-20 03:40:00 pm,39.7
09-Jan-20 04:15:00 pm,38.4
09-Jan-20 04:50:00 pm,37.3
09-Jan-20 05:25:00 pm,36.6
09-Jan-20 06:00:00 pm,38.2
09-Jan-20 06:35:00 pm,38.2
09-Jan-20 07:10:00 pm,38.3
09-Jan-20 07:45:00 pm,38.3
09-Jan-20 08:20:00 pm,37.7
09-Jan-20 08:55:00 pm,37.2
09-Jan-20 09:30:00 pm,36.4
09-Jan-20 10:05:00 pm,36.2
09-Jan-20 10:40:00 pm,36.4
09-Jan-20 11:15:00 pm,36.8
09-Jan-20 11:50:00 pm,37.3
10-Jan-20 12:25:00 am,37.6
10-Jan-20 01:00:00 am,38.3
10-Jan-20 01:35:00 am,38.6
10-Jan-20 02:10:00 am,39.0
10-Jan-20 02:45:00 am,39.4
10-Jan-20 03:20:00 am,39.0
10-Jan-20 03:55:00 am,39.0
10-Jan-20 04:30:00 am,39.1
10-Jan-20 05:05:00 am,39.7
10-Jan-20 05:40:00 am,40.0
10-Jan-20 06:15:00 am,39.0
10-Jan-20 06:50:00 am,39.0
10-Jan-20 07:25:00 am,38.9
10-Jan-20 08:00:00 am,38.8
10-Jan-20 08:35:00 am,39.6
10-Jan-20 09:10:00 am,40.1
10-Jan-20 09:45:00 am,40.1
10-Jan-20 10:20:00 am,41.0
10-Jan-20 10:55:00 am,41.6
10-Jan-20 11:30:00 am,42.5
10-Jan-20 12:05:00 pm,43.9
10-Jan-20 12:40:00 pm,44.7
10-Jan-20 01:15:00 pm,45.6
10-Jan-20 01:50:00 pm,46.5
10-Jan-20 02:25:00 pm,47.2
